	Category	Start Date	Status	Name		Duration	Linked	Owner	Details	
	Operation	"17/10/2022, 9:35 am"	Confirmed	"Taking pictures of swatches for Brendan and preparing swatch for ST"		"25 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"17/10/2022, 9:25 am"	Confirmed	"Helping Henry with PBA-13 construction"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"17/10/2022, 9:10 am"	Confirmed	"catching up emails"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"14/10/2022, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	"WORKLIFE & OKR Objectives"	"14/10/2022, 4:00 pm"	Confirmed	"Ops OKR"		"41 minutes"		"Lourdes Ordonez"		
	Operation	"14/10/2022, 4:00 pm"	Confirmed	"OKR Meeting"		"35 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	"WORKLIFE & OKR Objectives"	"14/10/2022, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	IT	"14/10/2022, 3:00 pm"	Confirmed	"meeting with Ari"		"30 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Report	"14/10/2022, 2:30 pm"	Confirmed	"Meeting with Des & updating Supplier Comment"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Report	"14/10/2022, 1:30 pm"	Confirmed	"Working on the stock hand report"		"1 hour"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"14/10/2022, 1:20 pm"	Confirmed	"meeting with Allen regarding the Plaque sale"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	📊Accounts	"14/10/2022, 1:10 pm"	Confirmed	"reflecting on invoice process"		"10 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"14/10/2022, 1:00 pm"	Confirmed	"meeting with Jenny"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	"Lunch Break"	"14/10/2022, 12:25 pm"	Confirmed	"Lunch Break"		"35 minutes"		"Shaun Soria "		
	IT	"14/10/2022, 12:00 pm"	Confirmed	"Working on IT OKR"		"25 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"14/10/2022, 11:35 am"	Confirmed	"Working to resolve the Inmould graphic issue for St Joseph"		"25 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	📊Accounts	"14/10/2022, 11:20 am"	Confirmed	"Meeting with Allen regarding PBD"		"15 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	SRO	"14/10/2022, 10:50 am"	Confirmed	"Helping Des with SROs with David"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"14/10/2022, 10:43 am"	Confirmed	"Incoming call"				"Shaun Soria "		
	Operation	"14/10/2022, 10:36 am"	Confirmed	"Called Remo Dupratt"		"3 minutes"	"Remo Dupratt, Roto Industries Pty Ltd"	"Shaun Soria "		
	Procurement	"14/10/2022, 10:20 am"	Confirmed	"Working on St Joseph Body to fix a production issue"		"20 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	📊Accounts	"14/10/2022, 9:45 am"	Confirmed	"Meeting with Jenny regarding PBD  Sale for Logan City Council - Shailer Park"		"35 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"14/10/2022, 9:30 am"	Confirmed	"Working on St Joseph Issue"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	📊Accounts	"14/10/2022, 9:15 am"	Confirmed	"Meeting with Allen regarding PBD Sale for Logan City Council - Shailer Park"		"15 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"14/10/2022, 9:00 am"	Confirmed	"Catching up emails"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Meeting	"13/10/2022, 4:00 pm"	Cancelled	"Productions Meeting"		"1 hour"		"Lourdes Ordonez"		
	IT	"13/10/2022, 3:45 pm"	Confirmed	"working IT OKR"		"1 hour 45 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Logistics	"13/10/2022, 3:30 pm"	Confirmed	"Meeting with Jenny regarding logistics"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Report	"13/10/2022, 3:15 pm"	Confirmed	"Meeting with Jenny regarding stock report"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"13/10/2022, 2:40 pm"	Confirmed	"Working Ops OKR"		"35 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"13/10/2022, 2:15 pm"	Confirmed	"Meeting with Jenny and Des regarding scoreboard"		"25 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Report	"13/10/2022, 1:40 pm"	Confirmed	"Looking into the WHS report pt1"		"35 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"13/10/2022, 1:30 pm"	Confirmed	"Receiving PO-03404"		"10 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	IT	"13/10/2022, 1:00 pm"	Confirmed	"Working file for Ari pt1"		"30 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	"Lunch Break"	"13/10/2022, 12:30 pm"	Confirmed	"Lunch Break"		"30 minutes"		"Shaun Soria "		
	Report	"13/10/2022, 11:55 am"	Confirmed	"Looking in to improving reporting process"		"35 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"13/10/2022, 11:40 am"	Confirmed	"Receiving Stock"		"15 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	📊Accounts	"13/10/2022, 10:45 am"	Confirmed	"Working on Accounts"		"55 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"13/10/2022, 10:00 am"	Confirmed	"looking into US / Canada certification"		"45 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"13/10/2022, 9:45 am"	Confirmed	"Correcting stock"		"10 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"13/10/2022, 9:32 am"	Confirmed	"Call from Daniel Gaebler"		"1 minute"	"Daniel Gaebler, Laser Plumbing - Caringbah"	"Shaun Soria "		
	Procurement	"13/10/2022, 9:15 am"	Confirmed	"Catching up with orders"		"30 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"13/10/2022, 9:00 am"	Confirmed	"catching up emails"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"12/10/2022, 5:30 pm"	Confirmed	"Meeting with Ari Regarding new interface"		"50 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Meeting	"12/10/2022, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour"		"Lourdes Ordonez"		
	Operation	"12/10/2022, 3:30 pm"	Confirmed	"Meeting with Des and Jimmy to capture the picture"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	📊Accounts	"12/10/2022, 3:15 pm"	Confirmed	"Reflection on the Acc process"		"10 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"12/10/2022, 2:15 pm"	Confirmed	"Meeting with Des with Agenda & Jenny Mac Mini Apple Care and Recycle Plans for the Laptops"		"1 hour"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"12/10/2022, 1:18 pm"	Confirmed	"Incoming call"		"1 minute"		"Shaun Soria "		
	📊Accounts	"12/10/2022, 1:15 pm"	Confirmed	"working on invoices for Eugene and improving Invoice process with Jenny"		"1 hour"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"12/10/2022, 1:00 pm"	Confirmed	"Looking into the FKG maintenance manual requirement"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Logistics	"12/10/2022, 12:50 pm"	Confirmed	"Helping with the logistics enquiry"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"12/10/2022, 12:47 pm"	Confirmed	"Incoming call"		"1 minute"		"Shaun Soria "		
	📊Accounts	"12/10/2022, 12:20 pm"	Confirmed	"Meeting with Jenny regarding the invoice for ID645 646"		"30 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"12/10/2022, 12:05 pm"	Confirmed	"Meeting with David regarding the lock"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	HR	"12/10/2022, 9:55 am"	Confirmed	"WHS inspection with Joanne"		"2 hours 10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"12/10/2022, 9:40 am"	Confirmed	"meeting with Jenny"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"12/10/2022, 9:35 am"	Confirmed	"updating PO-03412"		"5 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Procurement	"12/10/2022, 9:15 am"	Confirmed	"Working on ROI inmould Graphic"		"20 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"12/10/2022, 9:00 am"	Confirmed	"Catching up emails"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"12/10/2022, 8:00 am"	Completed	"Microsoft 365 Renewal 2022-10-30 - $947.23"		"1 hour"		"Lourdes Ordonez"		
	Operation	"11/10/2022, 4:56 pm"	Confirmed	"Call from Brendan Lynch"		"3 minutes"	"Brendan Lynch"	"Shaun Soria "		
	Report	"11/10/2022, 4:30 pm"	Confirmed	"Meeting with Jenny regarding the Stock Report"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	"🌈 Marketing"	"11/10/2022, 4:20 pm"	Confirmed	"Assisting Des with PCF change"		"5 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"11/10/2022, 3:55 pm"	Confirmed	"Working on the US/Can Cert"		"25 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	SRO	"11/10/2022, 3:45 pm"	Confirmed	"Helping Des with R66 and R160"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"11/10/2022, 3:35 pm"	Confirmed	"Checking the Thermal Printer to change the rolls"		"10 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Meeting	"11/10/2022, 3:15 pm"	Confirmed	"Sales Catch up with Shaun"		"20 minutes"		"Lourdes Ordonez"		
	📊Accounts	"11/10/2022, 2:50 pm"	Confirmed	"meeting with Jenny a"		"25 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	"Lunch Break"	"11/10/2022, 2:00 pm"	Confirmed	"lunch break"		"45 minutes"		"Shaun Soria "		
	IT	"11/10/2022, 1:50 pm"	Confirmed	"Meeting with Des regarding Microsoft 365 and acrobat license"		"10 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"11/10/2022, 1:30 pm"	Confirmed	"Meeting with David regarding the deadlock and painter cabinet"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"11/10/2022, 12:46 pm"	Confirmed	"Call from Jacob Agrotis"		"2 minutes"	"Jacob Agrotis, Building Engineering Pty Ltd"	"Shaun Soria "		
	IT	"11/10/2022, 11:35 am"	Confirmed	"Working with Ari"		"1 hour 55 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	📊Accounts	"11/10/2022, 11:15 am"	Confirmed	"Working on Payment Terms ID645 646"		"20 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"11/10/2022, 10:50 am"	Confirmed	"working on Pushing Orders"		"25 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	📊Accounts	"11/10/2022, 10:35 am"	Confirmed	"Meeting with Eug regarding Payment terms of 645 646"		"15 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"11/10/2022, 9:55 am"	Confirmed	"Meeting with Jenny to catch up with Pending orders"		"40 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"11/10/2022, 9:50 am"	Confirmed	"Lucille down"		"5 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"11/10/2022, 9:30 am"	Confirmed	"Working on Customer Orders"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"11/10/2022, 9:15 am"	Confirmed	"Receiving POs"		"15 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"11/10/2022, 9:00 am"	Confirmed	"Catchin up Emails"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"10/10/2022, 4:20 pm"	Confirmed	"Meeting with Ari"		"1 hour 25 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	IT	"10/10/2022, 4:00 pm"	Confirmed	"Creating Wireframe pt4"		"20 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Procurement	"10/10/2022, 3:25 pm"	Confirmed	"Dealing with Receiving Stock"		"35 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Meeting	"10/10/2022, 3:20 pm"	Cancelled	"Sales Catch up with Shaun"		"15 minutes"		"Lourdes Ordonez"		
	IT	"10/10/2022, 2:25 pm"	Confirmed	"working on wireframe pt3"		"1 hour"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"10/10/2022, 2:05 pm"	Confirmed	"Helping Allen with ETA for sale for ABS14MB"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	SRO	"10/10/2022, 1:55 pm"	Confirmed	"meeting with Des regarding SRO198"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"10/10/2022, 1:40 pm"	Confirmed	"Meeting with Dil and Jenny regarding issue ID641"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"10/10/2022, 1:10 pm"	Confirmed	"working on Inventory Wireframe pt2"		"30 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Report	"10/10/2022, 1:00 pm"	Confirmed	"Catching up calendar"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"10/10/2022, 12:55 pm"	Confirmed	"meeting with Jenny regarding Allen sale"		"5 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	"Lunch Break"	"10/10/2022, 12:10 pm"	Confirmed	"lunch break"		"45 minutes"		"Shaun Soria "		
	IT	"10/10/2022, 11:25 am"	Confirmed	"working on inventory Wireframes pt1"		"40 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Procurement	"10/10/2022, 11:10 am"	Confirmed	"Receiving PO-03401 and checking stock received"		"15 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Procurement	"10/10/2022, 11:00 am"	Confirmed	"Receiving Stock & requesting factory team to count stock received for PO-03401 "		"10 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	📊Accounts	"10/10/2022, 10:00 am"	Confirmed	"working on ID645 Payment terms / stock"		"1 hour"	"AC00 Accounts Management"	"Shaun Soria "		
	Logistics	"10/10/2022, 9:45 am"	Confirmed	"Looking into PO-03400 logisitics"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"10/10/2022, 9:15 am"	Confirmed	"researching US/Canada certification pt1"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"10/10/2022, 9:00 am"	Confirmed	"Catching up emails"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"7/10/2022, 5:00 pm"	Confirmed	"OPM Weekly Huddle"		"15 minutes"		"Cecille Mendoza"	"1. Operations Report     PCF report - Account Manager OA     Production report - Account Manager AOM     Value report - Account Manager AOM  2. What are your big rocks this week and solution taken?  3. What are your big achievements this week?  4. What are your targets next week?"	
	IT	"7/10/2022, 4:30 pm"	Confirmed	"Meeting with Ari"		"45 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"7/10/2022, 4:00 pm"	Confirmed	"Reflection on Ops Processes"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	"WORKLIFE & OKR Objectives"	"7/10/2022, 3:30 pm"	Confirmed	"AQB_Show N Tell"		"30 minutes"		"Lourdes Ordonez"	" "	
	Operation	"7/10/2022, 3:00 pm"	Confirmed	"Meeting with Des"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"7/10/2022, 2:30 pm"	Confirmed	"Resolving BOM for the filter / filter head"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"7/10/2022, 2:24 pm"	Confirmed	"Call from Smart Water"		"5 minutes"	"Smart Water"	"Shaun Soria "		
	Operation	"7/10/2022, 2:17 pm"	Confirmed	"Called BWT Australia"		"1 minute"	"BWT Australia"	"Shaun Soria "		
	Procurement	"7/10/2022, 2:10 pm"	Confirmed	"Checking stock"		"20 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	IT	"7/10/2022, 1:30 pm"	Confirmed	"Meeting with Ari"		"40 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	"Lunch Break"	"7/10/2022, 1:10 pm"	Confirmed	"lunch break"		"20 minutes"		"Shaun Soria "		
	Procurement	"7/10/2022, 12:55 pm"	Confirmed	"Arranging swap of item from smart water which they delivered incorrectly"		"15 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Procurement	"7/10/2022, 12:45 pm"	Confirmed	"Received PO-03408"		"5 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"7/10/2022, 12:30 pm"	Confirmed	"Sent email to the cleaners regarding the premise new opening procedure"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Report	"7/10/2022, 12:20 pm"	Confirmed	"Updating calendar"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"7/10/2022, 12:00 pm"	Confirmed	"Trimming file as requested by Ari"		"20 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"7/10/2022, 11:36 am"	Confirmed	"Incoming call"		"1 minute"		"Shaun Soria "		
	IT	"7/10/2022, 11:35 am"	Confirmed	"Reflecting on necessary items for PO to be kept in DB"		"25 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"7/10/2022, 11:25 am"	Confirmed	"Chasing ETA for R60"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"7/10/2022, 11:15 am"	Confirmed	"Chasing better ETA for Jenny's mac mini"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"7/10/2022, 11:07 am"	Confirmed	"Called Helen Werner"		"1 minute"	"Helen Werner, Roto Industries Pty Ltd"	"Shaun Soria "		
	Procurement	"7/10/2022, 11:05 am"	Confirmed	"Requested ETA from PO-03402"		"5 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"7/10/2022, 10:50 am"	Confirmed	"meeting with Des"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"7/10/2022, 10:30 am"	Confirmed	"meeting with Ari"		"20 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"7/10/2022, 10:10 am"	Confirmed	"Meeting with Henry"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"7/10/2022, 9:55 am"	Confirmed	"Meeting with Ari and Jenny to solve the design issue"		"15 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"7/10/2022, 9:45 am"	Confirmed	"catching up emails"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"7/10/2022, 9:25 am"	Confirmed	"Investigating design issue regarding ID576 pt1"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"7/10/2022, 9:10 am"	Confirmed	"Chasing ETA from Tradelink for R22 as requested by Factory team"		"15 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"7/10/2022, 9:00 am"	Confirmed	"Meeting with David and Barry "		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Meeting	"6/10/2022, 4:00 pm"	Confirmed	"Production Meeting"		"1 hour"		"Lourdes Ordonez"		
		"6/10/2022, 3:45 pm"	Confirmed	"Untitled Appointment"		"1 hour"		"Shaun Soria "		
	Operation	"6/10/2022, 3:35 pm"	Confirmed	"meeting with Des"		"25 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Logistics	"6/10/2022, 3:15 pm"	Confirmed	"working on logistics"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	📊Accounts	"6/10/2022, 3:00 pm"	Confirmed	"Meeting with Emar"		"15 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"6/10/2022, 2:00 pm"	Confirmed	"working with the  Amalgamated to secure the door"		"1 hour"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"6/10/2022, 1:35 pm"	Confirmed	"Checking units going out of the door based on stock received"		"20 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	IT	"6/10/2022, 12:15 pm"	Confirmed	"working with Ari on IT OKR"		"1 hour 20 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Procurement	"6/10/2022, 11:55 am"	Confirmed	"Checking with Barry the Berkeley stock that arrived"		"20 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"6/10/2022, 11:47 am"	Confirmed	"Call from Amalgamated Locksmiths"		"3 minutes"	"Amalgamated Locksmiths"	"Shaun Soria "		
	Procurement	"6/10/2022, 11:30 am"	Confirmed	"Working on logistics / Proc"		"25 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"6/10/2022, 11:20 am"	Confirmed	"Called Gareth"		"3 minutes"	"Gareth, Berkeley Engineering"	"Shaun Soria "		
	Operation	"6/10/2022, 11:00 am"	Confirmed	"Meeting regarding Inmould graphic / OPs OKR"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"6/10/2022, 10:30 am"	Confirmed	"Meeting regarding Pending Orders"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	📊Accounts	"6/10/2022, 10:00 am"	Confirmed	"meeting with Jenny regarding the PBD process"		"30 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"6/10/2022, 9:49 am"	Confirmed	"Incoming call"		"4 minutes"		"Shaun Soria "		
	Operation	"6/10/2022, 9:35 am"	Confirmed	"working on ETA for Rogers Construction"		"25 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"6/10/2022, 9:15 am"	Confirmed	"Working on locksmith pt1"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"6/10/2022, 9:00 am"	Confirmed	"email catch up"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"6/10/2022, 8:59 am"	Confirmed	"Incoming call"		"1 minute"		"Shaun Soria "		
	Meeting	"5/10/2022, 4:00 pm"	Confirmed	"Ops Meeting"		"1 hour 30 minutes"		"Lourdes Ordonez"		
	Operation	"5/10/2022, 3:45 pm"	Confirmed	"Meeting with Des"		"20 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"5/10/2022, 3:10 pm"	Confirmed	"Meeting with Ari"		"35 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"5/10/2022, 2:35 pm"	Confirmed	"Working on Lucille Orders"		"35 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"5/10/2022, 2:00 pm"	Confirmed	"Meeting with Ari and Joanne regarding IT OKR"		"35 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Operation	"5/10/2022, 1:39 pm"	Confirmed	"Incoming call"		"2 minutes"		"Shaun Soria "		
	HR	"5/10/2022, 1:30 pm"	Confirmed	"Meeting with Joanne"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"5/10/2022, 1:05 pm"	Confirmed	"Working on IT OKR pt2"		"25 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	"Lunch Break"	"5/10/2022, 12:30 pm"	Confirmed	"Lunch Break"		"35 minutes"		"Shaun Soria "		
	IT	"5/10/2022, 11:30 am"	Confirmed	"working on IT OKR pt1"		"1 hour"	"IT00 General Maintenance"	"Shaun Soria "		
	Procurement	"5/10/2022, 11:00 am"	Confirmed	"Working on PO"		"25 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"5/10/2022, 10:50 am"	Confirmed	"Meeting with Des"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"5/10/2022, 10:10 am"	Confirmed	"Working Ops OKR"		"40 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Operation	"5/10/2022, 9:30 am"	Confirmed	"working on Order / Lucille"		"40 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Logistics	"5/10/2022, 9:20 am"	Confirmed	"Freight cost for Shane"		"10 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"5/10/2022, 9:15 am"	Confirmed	"Updating PO for RWC"		"5 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"5/10/2022, 9:00 am"	Confirmed	"catching up emails"		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	IT	"4/10/2022, 4:25 pm"	Confirmed	"Working on IT OKR"		"25 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Procurement	"4/10/2022, 4:00 pm"	Confirmed	"Looking into Price increase from suppliers"		"25 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	📊Accounts	"4/10/2022, 3:15 pm"	Confirmed	"Working on Accounts"		"45 minutes"	"AC00 Accounts Management"	"Shaun Soria "		
	Operation	"4/10/2022, 2:45 pm"	Confirmed	"Working on OPs OKR"		"30 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Meeting	"4/10/2022, 2:30 pm"	Confirmed	"Meeting: Service Filters"		"15 minutes"		"Lourdes Ordonez"		
	Procurement	"4/10/2022, 2:10 pm"	Confirmed	"looking into the filter ordering strategy"		"15 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	IT	"4/10/2022, 1:40 pm"	Confirmed	"Working on supplier listing pt1"		"30 minutes"	"IT00 General Maintenance"	"Shaun Soria "		
	Meeting	"4/10/2022, 1:30 pm"	Confirmed	"quick meeting with Des"		"5 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	Procurement	"4/10/2022, 1:15 pm"	Confirmed	"Dealing with supplier increases"		"15 minutes"	"Proc01 - Procurement of Goods for Manufacturing"	"Shaun Soria "		
	Operation	"4/10/2022, 1:10 pm"	Confirmed	"Incoming call"		"3 minutes"		"Shaun Soria "		
	"Lunch Break"	"4/10/2022, 12:55 pm"	Confirmed	"Lunch Break"		"20 minutes"		"Shaun Soria "		
	Operation	"4/10/2022, 12:40 pm"	Confirmed	"Responding to emails "		"15 minutes"	"OP00 Operation and Logistic task"	"Shaun Soria "		
	"Lunch Break"	"4/10/2022, 12:20 pm"	Confirmed	"lunch break"		"20 minutes"		"Shaun Soria "		
